ID,DocID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30
1,4,0.913,0.32,27.798,-35.647,5.8867,-36.737,21.939,0.83553,4,-3.0919,14.45,72.675,133.45,-12.047,497.89,1902.9,139.31,1.5963,-1.55E-16,0.043064,1.1359,-3.075,22.31,0.98337,69.718,456.16,0.64,0.17778,0,1
1,4,10.818,0.172,27.58,-31.069,4.5785,-36.737,23.69,0.77926,4,-2.9,115.81,178.32,425.83,-26537,-1302.3,2.03E+05,113.5,2.5032,0,1.3923,2.0281,-2.8359,24.629,0.96188,143.19,747.36,0.66,0.22222,0,1
1,4,0.759,0.277,5.0146,-40.553,34.448,-32.486,30.519,0.91959,2,0.26751,36.83,78.611,188.46,-2217.9,1548.7,2539.3,197.02,-2.7546,-2.2941,-1.1199,8.88E-17,0.51158,31.574,0.96657,113.99,1965.3,0.65,0.22222,0,1
1,4,1.143,0.25,3.5974,-37.391,34.557,-30.415,31.736,0.96025,2,0.22165,26.554,168.69,239.42,-2601.8,-1169.1,8637.7,114.77,-1.4514,-1.05,-0.49279,0,0.25501,32.084,0.98916,128.34,-788.47,0.77,0.24444,0,1
1,4,0.528,0.261,31.069,-29.215,3.8155,-38.045,28.648,0.6276,4,-2.8283,34.637,85.099,228.2,-4750.1,-889.77,8633.5,33.615,4.9177,0.21372,2.2407,3.7982,-2.3494,32.598,0.87881,124.9,1384.2,0.7,0.28889,0,1
1,4,1.44,0.135,27.471,-29.215,9.2661,-34.666,19.004,0.74829,4,-2.8507,66.819,140.3,182.07,-11461,-1485.9,40988,109.13,1.1444,0,0.27077,1.0757,-2.7716,19.187,0.99045,142.13,-1187.3,0.68,0.22222,0,1
1,4,2.123,0.04,11.555,-11.446,11.555,-11.446,0,1,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.41,0.11111,0,1
1,4,0.546,0.135,6.3227,-37.282,34.666,-34.557,28.474,0.99103,2,0.095859,67.235,230.36,243.92,-13067,119.97,761.61,230.36,-1.1874,-1.0288,0,0,0.14156,28.628,0.99461,212.06,119.97,0.68,0.2,0,1
1,4,1.845,0.141,8.9391,-39.463,32.377,-34.121,24.039,0.99161,2,0.22408,40.891,215.43,1659.1,-92365,2238.3,1.21E+06,163.63,-0.95758,-0.79251,-0.51512,0,0.21386,24.144,0.99563,171.24,2238.3,0.63,0.18889,0,1
1,4,0.592,0.232,34.775,-31.396,5.4506,-39.681,30.472,0.75988,4,-2.8662,67.412,135.91,200.84,-2288,-1207.4,1252.7,128.45,3.2119,-2.66E-16,1.035,2.8637,-2.7574,31.563,0.96546,136.05,-275.29,0.59,0.22222,0,1
1,4,3.323,0.165,29.215,-34.993,12.1,-40.771,18.064,0.71943,4,-2.816,97.523,134.21,181.06,-2609.5,-331.79,4770.8,128.36,2.6591,0,1.3306,2.2927,-2.7602,19.169,0.94233,116.18,24.357,0.78,0.26667,0,1
1,4,0.658,0.214,8.176,-45.022,32.595,-35.211,26.316,0.93455,2,0.38204,52.688,146.37,217.81,-3464.5,2722.2,3616.2,179.76,-3.0274,-2.9544,-2.1721,0,0.48293,27.548,0.95529,128.73,3103.3,0.61,0.28889,0,1
1,4,2.433,0.175,9.2661,-39.354,34.448,-29.761,26.947,0.98501,2,0.36398,43.417,180.95,239.24,-3066.7,-1953.8,8452.5,171.57,-0.63548,-0.56078,-0.17949,0,0.34589,27.023,0.99718,154.42,-703.39,0.69,0.24444,0,1
1,4,0.523,0.187,34.339,-30.633,7.6309,-39.027,27.996,0.71726,4,-2.8371,45.445,163.48,214.81,-5131.3,-1498.9,2343.3,150.71,2.7455,0,0.98946,2.1343,-2.7069,28.917,0.96816,154.64,-1498.9,0.625,0.21111,0,1
1,4,4.896,0.116,25.182,-34.448,10.029,-37.827,15.525,0.65758,4,-2.9222,60.244,152.25,753.03,-56150,-419.53,4.71E+05,152.25,1.2852,-4.44E-16,0.35594,1.2515,-2.9216,15.811,0.98192,136.3,-419.53,0.65,0.22222,0,1
1,4,0.913,0.664,10.901,-42.515,34.775,-38.373,24.231,0.96035,2,0.17181,0,16.867,91.355,-830.63,0,879.98,44.068,0.91567,-0.029084,0.0088281,0.09034,0.13878,24.562,0.98649,36.991,355.88,0.61,0.23333,0,1
1,4,1.07,0.202,9.3751,-44.15,33.794,-34.775,26.157,0.9818,2,0.36658,77.81,149.87,277.94,-13007,-2312.3,65474,91.882,-0.92683,-0.78136,-0.58245,-0.0062698,0.35015,26.321,0.99376,130.3,2818,0.59,0.22222,0,1
1,4,0.773,0.2,33.031,-36.083,8.176,-45.676,26.642,0.63633,4,-2.7732,72.313,88.301,277.49,-10191,88.926,91985,78.249,4.3999,0,1.0795,3.3638,-2.4801,29.091,0.91583,145.45,1901.3,0.64,0.24444,0,1
1,4,0.937,0.205,32.159,-39.245,15.916,-40.88,16.325,0.75255,4,-3.0413,61.24,79.457,116.91,-2039.5,-921.97,322.33,67.025,1.3089,0,0.72722,1.2342,-2.9161,16.724,0.97614,81.581,-738.77,0.7,0.2,0,1
1,4,0.779,0.178,34.339,-35.211,28.997,-35.429,5.3461,0.65426,4,-3.1008,8.0729,44.206,66.543,-2144.5,-218.55,419.28,8.9126,0.62908,0,0.17005,0.46903,-2.8079,5.6239,0.95059,31.595,-117.2,0.54,0.15556,0,1
1,4,0.376,0.265,34.448,-31.287,25.4,-33.794,9.389,0.82769,4,-2.8713,17.715,46.719,63.783,-1724,9.2872,2330.6,61.882,0.77715,-0.31769,0,0.54767,-2.9218,9.8526,0.95295,37.18,-465.9,0.71,0.2,0,1
1,4,0.762,0.067,33.14,-33.903,33.903,-33.467,0.87889,0.9665,2,0.51915,0,16.276,32.551,-813.78,-813.78,-813.78,16.276,0,0,0,0,0.25957,0.87889,1,13.118,-813.78,0.235,0.066667,0,1
1,4,0.688,0.266,33.358,-36.083,12.645,-39.463,20.986,0.82128,4,-2.9799,73.662,91.769,110.19,-1569.2,-91.076,493.19,73.524,2.3608,0.031598,1.0861,2.1465,-2.9261,22.047,0.95188,82.884,483.29,0.71,0.23333,0,1
1,4,3.059,0.039,34.775,-29.87,34.775,-29.87,0,1,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.08,0.022222,0,1
1,4,0.712,0.161,7.0858,-37.936,34.884,-32.159,28.392,0.98887,2,0.20493,104.16,191.83,699.41,-24161,-477.81,3.96E+05,223.67,-0.997,-0.8904,-0.62532,0,0.17713,28.552,0.99441,177.34,-477.81,0.695,0.22222,0,1
1,4,4.554,0.172,7.5219,-40.444,28.67,-33.685,22.202,0.99005,2,0.30933,31.267,131.02,782.73,-1.12E+05,-2586.3,8.34E+05,83.299,0.57058,0,0.031045,0.32522,0.21153,22.336,0.994,129.86,-1813.2,0.73,0.2,0,1
1,4,0.59,0.202,32.813,-35.429,2.0712,-49.601,33.851,0.68697,4,-2.7096,73.584,195.45,222.82,-4477.9,-745.51,3633.5,194.56,2.3416,0,0.66281,2.0831,-2.6812,34.608,0.97813,171.33,-111.3,0.68,0.22222,0,1
1,4,5.785,0.175,26.272,-39.136,5.7777,-44.259,21.125,0.76092,4,-2.8966,55.976,132.96,222.72,-5352.5,-2644.8,10853,112.39,1.4277,0,0.62133,1.2294,-2.8765,21.45,0.98486,122.57,-2295.8,0.67,0.22222,0,1
1,4,0.679,0.305,9.9202,-44.041,34.339,-37.064,25.396,0.82532,2,0.2783,38.025,109.1,176.58,-3972.5,471.22,4187.4,172.51,-2.86,-2.7612,-2.306,-0.30996,0.46247,27.705,0.91667,90.835,2713.1,0.73,0.24444,0,1
1,4,1.163,0.122,11.773,-39.354,30.088,-32.704,19.484,0.98931,2,0.34829,143.9,182.82,311.89,-17885,-933.73,63730,171.35,0.74106,-7.99E-16,0.17688,0.63072,0.31428,19.555,0.99637,160.29,-593.54,0.72,0.24444,0,1
1,4,0.398,0.171,30.524,-35.538,2.0712,-43.169,29.458,0.69256,4,-2.8796,47.065,218.12,919.51,-1.42E+05,-1665.6,1.06E+06,90.844,2.9829,8.88E-16,0.75237,2.3096,-2.8889,30.116,0.97815,176.12,-856.23,0.63,0.17778,0,1
1,4,1.224,0.092,23.22,-34.775,8.83,-41.97,16.088,0.58624,4,-2.6779,11.849,255.38,4120.9,-4.13E+05,-4821.3,5.54E+06,280.14,1.7063,0,0.12188,1.4674,-2.5974,16.531,0.97321,179.69,-4821.3,0.75,0.26667,0,1
1,4,1.361,0.219,26.599,-34.775,26.599,-34.775,0,1,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.32,0.088889,0,1
1,4,2.125,0.057,28.452,-34.775,28.452,-34.775,0,1,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.44,0.088889,0,1
1,4,0.562,0.228,8.9391,-38.591,30.96,-39.899,22.059,0.99481,2,-0.059336,30.957,124.64,162.64,-2392.3,-1058.3,3112.9,112.48,0.41158,-0.068633,0,0.26796,-0.053147,22.129,0.99687,97.056,248.01,0.63,0.17778,0,1
1,4,3.647,0.117,12.645,-37.936,29.324,-40.88,16.937,0.98612,2,-0.17467,14.973,178.78,1186,-99862,-779.79,8.69E+05,178.78,-0.89672,-0.52161,-0.22102,0,-0.121,17.054,0.99314,145.76,-779.79,0.59,0.16667,0,1
1,4,0.504,0.156,30.851,-37.391,4.1425,-38.482,26.73,0.57014,4,-3.1008,39.365,230.72,308.09,-6566.7,-1678.3,179.25,154.72,2.6653,0,0.24563,1.7721,-3.1142,27.343,0.97759,175.28,-1678.3,0.53,0.17778,0,1
1,4,1.977,0.115,21.912,-33.685,9.5931,-35.32,12.427,0.58992,4,-3.0096,52.498,124.63,206.16,-4532.5,-3553.2,-482.58,114.81,1.0711,1.55E-16,0.29646,1.0651,-2.932,12.664,0.98125,110.12,-3553.2,0.68,0.2,0,1
1,4,0.714,0.149,15.044,-33.794,33.794,-35.32,18.812,0.63757,2,-0.081216,11.237,91.478,256.41,-38875,941.77,9786.8,190.18,0.92987,0,0.14403,0.60353,-0.33626,19.921,0.94433,133.7,941.77,0.66,0.18889,0,1
1,4,1.051,0.104,14.39,-34.557,28.452,-35.538,14.097,0.99892,2,-0.069655,38.814,167.74,224.62,-7037.2,-1876,1400.1,167.74,-0.15933,-0.079665,0,0.041729,-0.046381,14.108,0.9992,135.65,-1876,0.63,0.16667,0,1
