ID,DocID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,PhoneID,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,FOrientation,F30
1,5,2.446,0.148,6.9768,-50.8,27.362,-43.278,21.729,0.98692,2,0.35349,2,71.121,144.83,555.12,-24957,-2091.6,4608.3,76.459,-0.41511,-0.29807,-0.012579,8.88E-16,0.28868,21.836,0.99509,147.54,-7176.3,0.72,0.24444,0,0,1
1,4,1.05,0.141,7.4129,-34.884,22.457,-35.538,15.058,0.98265,2,-0.043451,2,100.69,136.64,146.12,-2070.5,-346.24,1005.8,131.64,1.0702,0,0.68897,0.95841,-0.024075,15.336,0.98188,108.77,-336.26,0.56,0.15556,0,0,1
1,1,1.923,0.884,29.652,-26.163,27.689,-20.385,6.1018,0.73295,3,1.8982,2,4.0097,7.2676,13.626,-413.62,-0.91058,405.02,3.7221,-0.47521,-0.3381,-0.25611,-0.070503,1.6729,6.662,0.91592,7.5361,64.384,0.5,0.13333,0,0,1
1,4,0.937,0.205,32.159,-39.245,15.916,-40.88,16.325,0.75255,4,-3.0413,2,61.24,79.457,116.91,-2039.5,-921.97,322.33,67.025,1.3089,0,0.72722,1.2342,-2.9161,16.724,0.97614,81.581,-738.77,0.7,0.2,0,0,1
1,4,-1627.4,0.091,23.329,-31.614,9.2661,-34.884,14.438,0.57212,4,-2.9131,2,65.369,138.18,768.29,-46513,-2107.2,1.83E+05,134.46,1.5285,3.11E-16,0.5025,1.5198,-2.7363,15.051,0.95929,165.39,-2107.2,0.65,0.22222,0,0,1
1,3,12.398,1.247,29.979,-32.813,28.779,-21.803,11.075,0.83599,3,1.6793,2,3.7725,7.2676,15.573,-454.22,-0.0022283,446.63,0,-0.39486,-0.24443,-0.13359,-0.026503,1.442,11.227,0.98652,9.003,-80.956,0.54,0.17778,0,0,1
1,4,0.434,0.2,28.234,-36.301,2.0712,-34.993,26.196,0.63038,4,3.0916,2,6.3985,218.5,301.26,-5044.5,3344.7,4916.1,253.13,2.9125,0,0.20142,2.3343,2.9471,26.967,0.97138,134.84,3344.7,0.585,0.16667,0,0,1
1,3,1.648,1.25,27.689,-37.609,28.125,-26.272,11.346,0.86029,3,1.5324,2,6.0563,10.59,19.195,-411.63,-19.795,508.77,2.2711,-0.77929,-0.70513,-0.42735,-0.18602,1.4019,11.819,0.95997,9.4551,220.13,0.56,0.13333,0,0,1
1,4,0.762,0.067,33.14,-33.903,33.903,-33.467,0.87889,0.9665,2,0.51915,2,0,16.276,32.551,-813.78,-813.78,-813.78,16.276,0,0,0,0,0.25957,0.87889,1,13.118,-813.78,0.235,0.066667,0,0,1
1,1,0.489,0.069,28.779,-34.448,28.779,-34.448,0,1,2,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.27,0.088889,0,0,1
1,5,-803.98,0.127,19.513,-36.737,19.513,-36.737,0,1,2,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.34,0.088889,0,0,1
1,5,0.773,0.279,33.685,-27.362,2.1803,-36.192,32.719,0.81541,4,-2.8683,2,90.542,115.25,652.77,-33849,-728.53,3.40E+05,120.48,5.3537,0.13195,2.8002,4.8736,-2.9258,34.757,0.94135,124.58,595.64,0.72,0.15556,0,0,1
1,3,3.776,1.227,27.253,-25.727,25.945,-17.006,8.8186,0.79421,3,1.7197,2,4.6071,7.2676,14.535,-366.64,-20.178,400.75,7.8458,0.67918,0.14015,0.38002,0.60372,1.5354,9.3565,0.94251,7.6255,228.39,0.59,0.17778,0,0,1
1,2,9.108,8.516,21.694,-41.098,23.983,-13.518,27.675,0.58719,3,1.488,2,0,3.0281,8.5648,-168.39,0,266.4,33.101,-3.7491,-2.9157,-0.71753,0.10516,0.88318,35.954,0.76973,4.222,1296.6,0.78,0.31111,0,0,1
1,5,0.678,0.172,16.897,-23.547,33.685,-23.983,16.794,0.99856,2,-0.025968,2,13.324,174.62,219.61,-3200,1855,7303.8,183.05,-0.5279,-0.47836,-0.015568,5.55E-17,0.00027282,16.834,0.9976,97.873,1855,0.82,0.28889,0,0,1
1,1,2.03,1.575,30.415,-42.733,29.106,-26.272,16.513,0.92202,3,1.6501,2,6.2344,12.113,14.535,-314.33,-0.0022283,356.43,1.8795,0.30226,-0.0033105,0.077724,0.17992,1.6026,16.914,0.97625,10.739,86.023,0.65,0.15556,0,0,1
1,5,2.572,0.22,12.1,-46.767,33.467,-40.771,22.192,0.99033,2,0.27358,2,60.389,87.068,222.88,-6462.1,-184.18,51620,79.326,-0.73792,-0.58611,-0.16226,0,0.22143,22.322,0.99417,101.46,358.85,0.64,0.22222,0,0,1
1,5,1.972,0.163,24.31,-38.045,5.0146,-44.15,20.238,0.70455,4,-2.8352,2,95.454,144.15,984.25,-45962,-1130.4,4.95E+05,96.944,3.0711,0,1.8503,2.8823,-2.7802,22.013,0.91938,135.05,-244.06,0.72,0.2,0,0,1
1,4,2.433,0.175,9.2661,-39.354,34.448,-29.761,26.947,0.98501,2,0.36398,2,43.417,180.95,239.24,-3066.7,-1953.8,8452.5,171.57,-0.63548,-0.56078,-0.17949,0,0.34589,27.023,0.99718,154.42,-703.39,0.69,0.24444,0,0,1
1,1,2.044,0.461,34.448,-16.897,33.903,-18.532,1.7236,0.80405,1,-1.8925,2,4.2181,8.7111,18.681,-170.37,0.010891,175.14,7.7865,-0.20684,-0.14823,-0.034473,5.50E-16,-1.7838,1.8656,0.92393,4.0467,93.666,0.08,0.044444,0,0,1
1,2,1.413,0.792,19.295,-20.276,19.949,-7.3039,12.989,0.91899,3,1.5204,2,11.475,17.213,40.079,-983.63,-16.779,1053,43.169,-1.5554,-1.247,-0.80787,-0.30284,1.5359,13.669,0.95027,17.259,-316.82,0.58,0.31111,0,0,1
1,4,1.361,0.219,26.599,-34.775,26.599,-34.775,0,1,2,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.32,0.088889,0,0,1
1,2,1.461,0.819,22.457,-30.633,18.859,-24.092,7.4648,0.73901,3,2.0736,2,6.3768,9.3754,19.375,-464.85,0.0031513,533.45,4.5343,-0.98862,-0.88737,-0.68774,-0.53491,1.9579,8.5963,0.86837,10.496,0.0063026,0.76,0.28889,0,0,1
1,3,1.537,1.121,26.381,-29.433,25.945,-23.002,6.4465,0.83785,3,1.6385,2,2.5332,6.4125,13.698,-356.25,-1.23E-11,345.49,0.48666,-0.35763,-0.29255,-0.21384,-0.13162,1.439,6.7351,0.95715,6.0081,127.45,0.54,0.15556,0,0,1
1,4,0.679,0.305,9.9202,-44.041,34.339,-37.064,25.396,0.82532,2,0.2783,2,38.025,109.1,176.58,-3972.5,471.22,4187.4,172.51,-2.86,-2.7612,-2.306,-0.30996,0.46247,27.705,0.91667,90.835,2713.1,0.73,0.24444,0,0,1
1,3,2.235,1.688,27.253,-29.106,25.073,-15.48,13.8,0.73011,3,1.7295,2,0,6.4125,26.873,-425.9,-0.0022283,429.87,0,-0.48655,-0.37934,-0.23251,0,1.3576,14.393,0.95881,8.5266,19.573,0.65,0.17778,0,0,1
1,2,2.014,1.143,19.186,-20.494,20.603,-6.1047,14.459,0.89779,3,1.4726,2,6.4125,10.957,30.881,-283.75,18.265,551.74,62.147,-2.0251,-1.7527,-0.92544,-0.47233,1.5456,15.692,0.92147,13.728,200.68,0.76,0.27778,0,0,1
1,2,3.629,2.947,23.874,-28.561,22.021,-16.352,12.349,0.6106,3,1.7214,2,0,6.0563,9.6355,-403.32,0,425.83,12.037,-1.6937,-1.5572,-1.4483,-1.3068,1.3119,16.236,0.76062,5.5093,-91.574,0.97,0.28889,0,0,1
