ID,DocID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30
1,3,7.807,1.47,30.415,-29.433,29.652,-20.603,8.863,0.79603,3,1.657,4.4443,6.4125,12.825,-403.99,-1.23E-11,484.49,1.8169,-0.1904,-0.11518,-0.040225,0.03875,1.4628,9.3882,0.94406,6.3865,1.0321,0.6,0.17778,0,1
1,3,1.465,1.04,28.779,-31.069,27.471,-11.882,19.231,0.94041,3,1.6389,6.4125,15.235,48.784,-847.89,-55.652,1298.3,2.8688,0.61796,0.065009,0.24718,0.45951,1.6055,19.438,0.98935,18.69,1471.6,0.65,0.2,0,1
1,3,12.743,0.67,25.945,-30.633,23.983,-20.494,10.326,0.82865,3,1.762,6.0563,18.169,37.995,-710.97,-94.333,1144.1,0.51421,0.79062,0,0.4868,0.72916,1.6128,10.733,0.96211,16.019,898.54,0.58,0.17778,0,1
1,3,3.13,1.93,25.945,-41.97,24.746,-25.945,16.07,0.87116,3,1.6455,6.0562,7.2675,13.84,-377.86,-0.0076293,387.68,6.132,-0.51766,-0.45377,-0.38862,-0.28974,1.5071,16.669,0.96403,8.6369,43.738,0.61,0.17778,0,1
1,3,1.544,1.183,27.035,-33.14,26.926,-27.035,6.1057,0.76912,3,1.5887,0,6.6129,9.9471,-454.22,-1.39E-11,377.2,0,-0.41652,-0.38012,-0.14598,-0.011873,1.289,6.4264,0.9501,5.4323,200.7,0.55,0.17778,0,1
1,3,1.648,1.25,27.689,-37.609,28.125,-26.272,11.346,0.86029,3,1.5324,6.0563,10.59,19.195,-411.63,-19.795,508.77,2.2711,-0.77929,-0.70513,-0.42735,-0.18602,1.4019,11.819,0.95997,9.4551,220.13,0.56,0.13333,0,1
1,3,2.124,1.217,27.471,-37.5,28.016,-24.092,13.42,0.86682,3,1.5302,6.0562,7.2676,16.303,-587.88,-0.0099292,442.04,3.8933,-1.5905,-1.5406,-1.4457,-1.3748,1.436,14.612,0.91839,12.007,1307.3,0.59,0.17778,0,1
1,3,0.81,0.534,26.708,-33.576,26.381,-23.656,9.9256,0.68617,3,1.6038,5.4506,19.38,44.569,-742.68,-113.55,1635.8,46.287,-0.69204,-0.64127,-0.50406,-0.18989,1.5704,10.779,0.92083,20.185,52.267,0.61,0.15556,0,1
1,3,1.104,0.841,26.49,-37.391,26.054,-23.111,14.287,0.90879,3,1.6013,5.7375,9.0687,35.839,-794.8,-29.333,842.04,24.584,-0.979,-0.87436,-0.69162,-0.27016,1.4977,14.6,0.9786,17.36,-361.03,0.59,0.2,0,1
1,3,1.169,0.904,25.836,-33.903,25.618,-23.22,10.685,0.87977,3,1.5912,5.8051,12.825,19.238,-405.6,-39.59,725,5.1389,-0.35811,-0.27893,-0.20463,-0.11344,1.4512,10.903,0.98003,12.061,365.56,0.55,0.17778,0,1
1,3,1.596,1.006,24.746,-37.391,24.964,-25.073,12.32,0.89029,3,1.5531,6.4125,12.825,24.528,-637.99,-9.91E-12,602.19,5.6237,-0.75429,-0.6941,-0.45913,-0.37657,1.4584,12.911,0.95429,12.834,594.96,0.56,0.17778,0,1
