ID,DocID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,PhoneID,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,FOrientation,F30
1,4,0.562,0.228,8.9391,-38.591,30.96,-39.899,22.059,0.99481,2,-0.059336,2,30.957,124.64,162.64,-2392.3,-1058.3,3112.9,112.48,0.41158,-0.068633,0,0.26796,-0.053147,22.129,0.99687,97.056,248.01,0.63,0.17778,0,0,1
1,1,1.772,1.037,24.201,-24.637,24.419,-16.788,7.852,0.88237,3,1.543,2,6.0563,7.2676,13.066,-311.46,-14.197,258.75,4.5053,0.37232,0.020886,0.17405,0.34235,1.4759,8.1766,0.96029,7.8849,57.004,0.47,0.15556,0,0,1
1,2,11.794,1.442,28.67,-40.88,28.888,-33.358,7.525,0.75943,3,1.5418,2,0,6.4125,11.336,-354.27,0,420.97,0.71719,0.29216,-0.026057,0.099492,0.2511,1.2527,8.1181,0.92694,5.6298,98.141,0.53,0.11111,0,0,1
1,2,4.716,2.184,19.731,-36.41,19.84,-18.641,17.769,0.76979,3,1.5647,2,0.20964,7.2675,18.169,-381.55,0,484.49,1.1124,-0.86607,-0.82694,-0.38421,-0.14439,1.2643,18.978,0.93631,8.6896,78.6,0.55,0.17778,0,0,1
1,3,2.28,1.852,23.656,-38.7,23.656,-24.201,14.499,0.87815,3,1.5708,2,6.0562,6.8134,13.627,-366.73,-0.0044565,407.02,1.2676,0.43605,0,0.21803,0.43605,1.4431,14.843,0.97683,8.0144,323.37,0.62,0.15556,0,0,1
1,5,0.864,0.379,28.997,-45.785,0.65408,-45.24,28.349,0.84442,4,3.1224,2,60.325,81.723,108.52,-2776.7,-481.94,2036.2,97.119,2.1023,0.14672,0.95369,1.6674,3.1257,28.826,0.98342,76.059,678.89,0.65,0.22222,0,0,1
1,2,3.457,0.805,19.949,-36.083,19.077,-32.813,3.3847,0.6147,3,1.8314,2,0,5.506,9.2387,-459.97,18.74,395.12,1.1597,-0.18258,-0.13342,-0.094799,-0.052666,1.3144,3.7673,0.89844,4.6798,299.91,0.76,0.26667,0,0,1
1,3,3.463,1.136,25.509,-29.106,24.964,-21.694,7.4329,0.73364,3,1.6442,2,1.0312,6.8133,19.152,-585.92,-21.684,610.48,6.84,-1.1176,-1.0573,-0.9417,-0.6763,1.3555,8.4184,0.88294,7.4105,56.009,0.58,0.15556,0,0,1
1,5,2.365,0.265,9.2661,-45.567,30.088,-44.804,20.835,0.99053,2,0.036633,2,64.231,94.053,214.09,-9002.2,28.277,31208,67.981,-0.80536,-0.59968,-0.059318,0.18326,0.018047,21.024,0.99105,79.335,-113.69,0.61,0.18889,0,0,1
1,3,1.868,1.25,27.907,-27.58,27.253,-20.603,7.0074,0.69637,3,1.6643,2,0,6.8133,12.143,-436.22,-9.8953,440.02,4.2824,-0.72584,-0.62578,-0.45789,-0.16959,1.3715,7.9934,0.87665,6.3947,40.507,0.61,0.15556,0,0,1
1,1,1.622,1.106,25.945,-27.035,23.874,-17.987,9.2821,0.84379,3,1.7958,2,6.0563,11.475,16.251,-383.71,-21.029,351.51,3.6337,-0.24069,-0.15786,-0.035848,0,1.7061,9.6868,0.95822,8.7584,0,0.57,0.15556,0,0,1
1,3,1.471,1.094,25.4,-31.178,24.964,-22.675,8.5142,0.84468,3,1.622,2,3.6863,9.1002,14.847,-448.92,-27.703,398.16,3.1773,-0.18703,-0.14293,-0.10329,-0.044385,1.4537,8.8143,0.96595,8.0569,57.01,0.56,0.14444,0,0,1
1,1,2.645,1.955,24.746,-22.893,23.656,-6.6498,16.279,0.84774,3,1.6378,2,5.9606,6.8133,13.84,-356.25,-0.0044565,386.66,3.6337,0.35623,-0.073291,0.049639,0.14797,1.4845,16.945,0.96071,8.6676,-136.27,0.59,0.15556,0,0,1
1,1,1.885,1.07,27.907,-21.585,24.855,-10.465,11.531,0.77629,3,1.8387,2,6.0562,12.112,18.05,-514.32,-19.791,503.89,6.0562,-1.0863,-0.8379,-0.64517,-0.46523,1.6507,12.785,0.9019,11.948,500.61,0.64,0.17778,0,0,1
1,1,5.01,2.011,25.4,-28.016,23.983,-2.3983,25.657,0.92612,3,1.6261,2,7.0404,13.542,21.121,-594.23,-9.9019,499.26,2.8688,1.0134,-0.013849,0.52316,0.82473,1.5482,26.23,0.97817,13.043,194.05,0.61,0.2,0,0,1
